prefix,domain
KXSPOTIFYW,Entertainment / Awards
KXSPOTIFYSONGSOPALITE,Entertainment / Awards
GRAMSOTY,Entertainment / Awards
KXCPIGAS,Economics / Finance
EURO,Economics / Finance
KXISMPMI,Economics / Finance
KXEARNINGSMENTIONCOINBASE,Politics / Government
KXZELENSKYYMENTION,Politics / Government
KXEARNINGSMENTIONAMC,Politics / Government
KXEARNINGSMENTIONNKE,Politics / Government
KXEARNINGSMENTIONWMT,Politics / Government
KXTRUMPPARDON,Politics / Government
RAINNY,Weather
KXMELANIAMENTION,Politics / Government
KXBIDENPARDON,Politics / Government
CREDEF,Economics / Finance
KXEARNINGSMENTIONFDX,Politics / Government
KXGRAMMYNOMSOTY,Entertainment / Awards
KXCANDEBMENTION,Politics / Government
INXY,Economics / Finance
KXTRUMPLATE,Politics / Government
KXTNOTED,Economics / Finance
KXGRAMMYNOMROTY,Entertainment / Awards
KXTRUMPOFFICIAL,Politics / Government
KXOSCARMENTION,Politics / Government
KXBESSENTMTPMENTION,Politics / Government
KXGDP,Economics / Finance
KXDJTNATOMENTION,Politics / Government
KXSPOTIFY100MILLION,Entertainment / Awards
KXGRAMMYNOMAOTY,Entertainment / Awards
KXZUCKMENTION,Politics / Government
KXBANKRUPTS,Economics / Finance
KXDJTJUSTICEMENTION,Politics / Government
KXAOCMENTION,Politics / Government
KXSNOWNYM,Weather
KXEARNINGSMENTIONMU,Politics / Government
KXMIRANMENTION,Politics / Government
KXWALLERMENTION,Politics / Government
KXDJTLANDRY,Politics / Government
KXTRUMPZELENSKYY,Politics / Government
KXROGANMENTION,Politics / Government
538APPROVEY,Politics / Government
KX60MINMENTION,Politics / Government
KXJENSENMENTION,Politics / Government
KXVANCEINGRAHAM,Politics / Government
KXDJTFRENCHREP,Politics / Government
OSCARDIR,Entertainment / Awards
HIGHNY0,Weather
KXDJTWOMENS,Politics / Government
KXMAHERMENTION,Politics / Government
KXLEBRONMENTION,Politics / Government
OSCARSUPACTR,Entertainment / Awards
KXCONGRESSMENTION,Politics / Government
KXSCHUMERMENTION,Politics / Government
OSCARACTO,Entertainment / Awards
KXNETANYAHUMENTION,Politics / Government
KXWWDCMENTION,Politics / Government
KXDJTCPAC,Politics / Government
KXLATENIGHTMENTION,Politics / Government
OSCARACTR,Entertainment / Awards
KXECBMENTION,Politics / Government
KXLEAVITTSMFMENTION,Politics / Government
FRMMAX,Economics / Finance
KXSBMENTION,Politics / Government
OSCARSUPACTO,Entertainment / Awards
OSCARASPLAY,Entertainment / Awards
KXVLADTENEVMENTION,Politics / Government
KXSPOTIFYSONGSLORDEWWT,Entertainment / Awards
KXTRUMPNOMMAX,Politics / Government
OSCARSPLAY,Entertainment / Awards
KXZIWEMENTION,Politics / Government
KXFLIGHTORD,Weather
KXLUTNICKFTNMENTION,Politics / Government
SNOWNY,Weather
KXDJTUKRG7,Politics / Government
KXBTCMENTIONVANCE,Politics / Government
KXGOVTFUNDSVOTES,Politics / Government
KXOSCARPIC,Entertainment / Awards
KXDJTRGA,Politics / Government
KXFLIGHTLAX,Weather
GRAMMYNOMAOTY,Entertainment / Awards
KXEARNINGSMENTIONCOST,Politics / Government
GOVSHUT,Politics / Government
KXGRAMMYNOMBRA,Entertainment / Awards
KXCOSTAMENTION,Politics / Government
OSCARNOMACTR,Entertainment / Awards
KXDIMONMENTION,Politics / Government
KXCPIUSEDCAR,Economics / Finance
KXEARNINGSMENTIONBLK,Politics / Government
KXEARNINGSMENTIONLUCID,Politics / Government
KXTRUMPCALL,Politics / Government
KXAPPLEMENTION,Politics / Government
KXTHREADGUYMENTION,Politics / Government
KXEARNINGSMENTIONPYPL,Politics / Government
KXSPOTIFYSONG,Entertainment / Awards
KXSCOTUSMENTION,Politics / Government
KXCPIAPPAREL,Economics / Finance
KXEARNINGSMENTIONNIO,Politics / Government
